feature,country_count,rest_count,log_odds,weighted_score,feature_type,country
red_chili_flake,1,1,5.154446996128335,6.940842197484352,ingredient,Afghanistan
dried_apricot,1,1,5.154446996128335,6.940842197484352,ingredient,Afghanistan
cow_foot,1,1,5.154446996128335,6.940842197484352,ingredient,Afghanistan
dried_mint,1,1,5.154446996128335,6.940842197484352,ingredient,Afghanistan
slivered_almond,1,1,5.154446996128335,6.940842197484352,ingredient,Afghanistan
onion + yogurt,5,25,4.184981836327033,7.934222253220221,pair,Afghanistan
flour + yogurt,3,7,4.680973149403592,7.925576490189501,pair,Afghanistan
garlic + yogurt,5,26,4.146655856790112,7.86156080530694,pair,Afghanistan
almond + cardamom,4,16,4.278648280220047,7.7217576582986,pair,Afghanistan
lamb + yogurt,3,9,4.456670177669648,7.545798546006955,pair,Afghanistan
harissa,3,0,5.6997162477349415,9.650458494844127,ingredient,Algeria
olive,18,198,2.898158226602434,7.16488325170248,ingredient,Algeria
phyllo_dough,3,4,4.087947331914366,6.92149649930836,ingredient,Algeria
olive_oil,17,181,2.826728237021746,6.9118759687893805,ingredient,Algeria
orange_blossom_water,2,3,3.981432456800314,6.168457768571757,ingredient,Algeria
chickpea + parsley,5,7,4.112628763716989,7.797049529121781,pair,Algeria
cumin + olive_oil,8,20,3.6995367485879243,7.763893282965882,pair,Algeria
chickpea + olive_oil,5,8,3.994261103665118,7.572638681195756,pair,Algeria
chickpea + olive,5,8,3.994261103665118,7.572638681195756,pair,Algeria
chickpea + water,6,13,3.7524409356036807,7.40339738576459,pair,Algeria
yerba_mate,2,0,5.6059955460295985,8.685403344573002,ingredient,Argentina
mozzarella_cheese,4,10,3.8243307939036337,6.901842278602489,ingredient,Argentina
ham,8,51,3.1028072949379024,6.511589518525739,ingredient,Argentina
roll,1,1,4.4555094114336855,5.999671304680466,ingredient,Argentina
egg_wash,1,1,4.4555094114336855,5.999671304680466,ingredient,Argentina
olive + tomato_sauce,4,6,4.278648280220047,7.7217576582986,pair,Argentina
mozzarella_cheese + tomato,4,6,4.278648280220047,7.7217576582986,pair,Argentina
ham + olive,5,11,3.979681653901961,7.544997797847963,pair,Argentina
ham + olive_oil,4,7,4.144534306745956,7.479719628076317,pair,Argentina
ham + oil,5,13,3.8243620668697207,7.250530540404919,pair,Argentina
ground_lamb,3,9,3.3487338121264143,5.669899212447596,ingredient,Armenia
nigella_seed,1,1,4.189654742026425,5.641678428004036,ingredient,Armenia
cow_foot,1,1,4.189654742026425,5.641678428004036,ingredient,Armenia
sodium_nitrite,1,1,4.189654742026425,5.641678428004036,ingredient,Armenia
dried_apricot,1,1,4.189654742026425,5.641678428004036,ingredient,Armenia
mint + turmeric,3,8,3.4546796365513166,5.849281086364718,pair,Armenia
garlic + sumac,3,8,3.4546796365513166,5.849281086364718,pair,Armenia
ground_lamb + onion,3,8,3.4546796365513166,5.849281086364718,pair,Armenia
ground_lamb + lamb,3,9,3.3487338121264143,5.669899212447596,pair,Armenia
coriander + parsley,3,10,3.252837980768015,5.50753345595567,pair,Armenia
desiccated_coconut,5,2,4.73444252169223,8.975933631571232,ingredient,Australia
marshmallow,3,1,4.670489652108734,7.907826386302303,ingredient,Australia
biscuit,3,1,4.670489652108734,7.907826386302303,ingredient,Australia
emulsifier,2,0,5.04576841031722,7.817440000991145,ingredient,Australia
milk_solid,2,0,5.04576841031722,7.817440000991145,ingredient,Australia
butter + icing_sugar,4,6,3.669687239556329,6.622754124615127,pair,Australia
icing_sugar + milk,4,6,3.669687239556329,6.622754124615127,pair,Australia
sugar + sweetened_condensed_milk,4,7,3.5355684754024375,6.380707448562195,pair,Australia
icing_sugar + sugar,4,8,3.4171977230085964,6.167081507855355,pair,Australia
dried_fruit + fruit,4,11,3.1277504250322465,5.644710482371631,pair,Australia
raspberry_jam,2,2,4.506221817045099,6.981517148880141,ingredient,Austria
jam,5,22,3.322648123454986,6.299341242511635,ingredient,Austria
nougat,1,1,4.4555094114336855,5.999671304680466,ingredient,Austria
dough,1,1,4.4555094114336855,5.999671304680466,ingredient,Austria
plum,1,1,4.4555094114336855,5.999671304680466,ingredient,Austria
jam + vanilla,5,13,3.8243620668697207,7.250530540404919,pair,Austria
nutmeg + onion,6,23,3.498189647649465,6.901771016990128,pair,Austria
egg + jam,5,16,3.6284501257264985,6.879105061422589,pair,Austria
flour + jam,5,16,3.6284501257264985,6.879105061422589,pair,Austria
jam + sugar,5,18,3.5160521575394506,6.666012031324972,pair,Austria
hazelnut,3,5,3.780687003367059,6.401259540330565,ingredient,Azerbaijan
dried_mint,1,1,4.114380588982521,5.5403162414844225,ingredient,Azerbaijan
nigella_seed,1,1,4.114380588982521,5.5403162414844225,ingredient,Azerbaijan
grape_juice,1,1,4.114380588982521,5.5403162414844225,ingredient,Azerbaijan
chervil,1,1,4.114380588982521,5.5403162414844225,ingredient,Azerbaijan
water + yogurt,5,7,3.9773424715487886,7.540562989429017,pair,Azerbaijan
flour + yogurt,4,6,3.888315621626177,7.017316910103645,pair,Azerbaijan
mint + yogurt,4,6,3.888315621626177,7.017316910103645,pair,Azerbaijan
herb + onion,6,21,3.1542213549798475,6.223137028490991,pair,Azerbaijan
herb + oil,4,11,3.3463891451671604,6.039291925162145,pair,Azerbaijan
basil_seed,1,1,5.154446996128335,6.940842197484352,ingredient,Bahrain
cow_foot,1,1,5.154446996128335,6.940842197484352,ingredient,Bahrain
tahini,1,2,4.748404354073999,6.39407589916648,ingredient,Bahrain
fresh_parsley,1,3,4.460144413937834,6.005912676643434,ingredient,Bahrain
dried_lime,1,4,4.23642266081509,5.704654872317211,ingredient,Bahrain
lemon_juice + paprika,3,17,3.8642323415917974,6.542714094194707,pair,Bahrain
sumac + tomato,2,8,4.157145463461131,6.440691009430772,pair,Bahrain
chicken + yogurt,2,9,4.051205069561483,6.276556906228878,pair,Bahrain
oil + sumac,2,9,4.051205069561483,6.276556906228878,pair,Bahrain
garlic + sumac,2,9,4.051205069561483,6.276556906228878,pair,Bahrain
coriander_powder,9,8,4.9123046843666875,10.567804453600466,ingredient,Bangladesh
garam_masala,10,13,4.63696696007009,10.196447536907241,ingredient,Bangladesh
cumin_powder,4,3,4.72762067469197,8.532026649420239,ingredient,Bangladesh
black_salt,2,0,5.504750647156226,8.528544000666006,ingredient,Bangladesh
ghee,9,27,3.766171128415583,8.102135877392726,ingredient,Bangladesh
coriander_powder + garam_masala,9,3,5.7261495048030975,12.318622749810523,pair,Bangladesh
coriander_powder + onion,9,5,5.319519574198639,11.44384281091855,pair,Bangladesh
coriander_powder + green_chili,8,5,5.145166187053862,10.797708987390878,pair,Bangladesh
coriander + garam_masala,10,10,4.879883916430657,10.730609203937593,pair,Bangladesh
coriander_powder + turmeric,9,8,4.9123046843666875,10.567804453600466,pair,Bangladesh
fruit_filling,1,1,4.619768985409244,6.220858908946592,ingredient,Belarus
herring,1,1,4.619768985409244,6.220858908946592,ingredient,Belarus
glaze,1,1,4.619768985409244,6.220858908946592,ingredient,Belarus
sodium_nitrite,1,1,4.619768985409244,6.220858908946592,ingredient,Belarus
duck_blood,1,1,4.619768985409244,6.220858908946592,ingredient,Belarus
butter + sour_cream,3,14,3.415611515617158,5.783133007555273,pair,Belarus
egg + sour_cream,3,15,3.350488711670093,5.672870515662142,pair,Belarus
flour + sour_cream,3,16,3.28927946545817,5.5692342530142245,pair,Belarus
cream + fruit,3,17,3.231536085237107,5.471466211596931,pair,Belarus
lemon_zest + yeast,2,9,3.4717723343317584,5.378838209309177,pair,Belarus
tarragon,1,1,4.680973149403592,6.303274819796546,ingredient,Belgium
fish_ball,1,1,4.680973149403592,6.303274819796546,ingredient,Belgium
nougat,1,1,4.680973149403592,6.303274819796546,ingredient,Belgium
chervil,1,1,4.680973149403592,6.303274819796546,ingredient,Belgium
pearl_sugar,1,2,4.2749284991175145,5.756505817246847,ingredient,Belgium
butter + thyme,3,7,4.117875059632294,6.972168547114537,pair,Belgium
bay_leaf + butter,3,16,3.358856961340609,5.687039193997998,pair,Belgium
food_coloring + water,2,8,3.6428355156125294,5.643867447136806,pair,Belgium
lemon + thyme,2,9,3.536893097116055,5.479730207214608,pair,Belgium
butter + vinegar,2,9,3.536893097116055,5.479730207214608,pair,Belgium
yerba_mate,2,0,5.988961416889864,9.278734721367053,ingredient,Bolivia
french_fry,3,7,4.273187854639731,7.2351359680862615,ingredient,Bolivia
hot_dog,2,3,4.600930441730056,7.128249803025972,ingredient,Bolivia
fried_egg,2,6,4.039575018679189,6.258538396938022,ingredient,Bolivia
hot_water,1,2,4.409618640423256,5.937876004400236,ingredient,Bolivia
beef + pea,4,11,4.17555209239193,7.535698013811484,pair,Bolivia
chili + pea,3,11,3.865397164088091,6.544686310120159,pair,Bolivia
egg + pea,4,21,3.563578560625929,6.431257780330284,pair,Bolivia
corn + pea,3,12,3.784772214767829,6.40817640449577,pair,Bolivia
cumin + vinegar,3,13,3.7100816617645394,6.281714305263787,pair,Bolivia
cow_foot,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
white_cheese,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
basil_seed,1,1,4.890349128221754,6.585214983312102,ingredient,Bosnia and Herzegovina
ground_lamb,2,10,3.6658899358892376,5.67958580212557,ingredient,Bosnia and Herzegovina
sunflower_oil,1,4,3.9723217823076813,5.349023604149394,ingredient,Bosnia and Herzegovina
bay_leaf + paprika,4,32,3.247551624844867,5.860917978651014,pair,Bosnia and Herzegovina
ground_lamb + onion,2,9,3.761781342097603,5.8281509469530235,pair,Bosnia and Herzegovina
lamb + paprika,3,19,3.4375000886597227,5.820193583288772,pair,Bosnia and Herzegovina
beef + lamb,4,35,3.1587719007984956,5.7006955277368085,pair,Bosnia and Herzegovina
ground_lamb + lamb,2,10,3.6658899358892376,5.67958580212557,pair,Bosnia and Herzegovina
yerba_mate,2,0,5.109458358075157,7.916115228384832,ingredient,Brazil
cassava_flour,2,1,4.415726553119724,6.841312280447425,ingredient,Brazil
roast_beef,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
chicken_blood,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
chocolate_icing,1,1,3.978512746696979,5.357360193294387,ingredient,Brazil
cassava + onion,3,7,3.3463891451671604,5.665929346196183,pair,Brazil
coconut_milk + lime_juice,3,9,3.122071195597009,5.286126042332493,pair,Brazil
parsley + rice,4,17,2.786618199763461,5.029062688852549,pair,Brazil
coconut + lime_juice,3,11,2.9385738597140425,4.9754380454419875,pair,Brazil
lime_juice + milk,3,12,2.8579427436681306,4.83891769864345,pair,Brazil
pandan_leaf,4,17,3.9684266763594414,7.161894849183309,ingredient,Brunei
coconut_milk,8,103,3.338503312323232,7.006224077000724,ingredient,Brunei
coconut,9,162,3.1807342838004256,6.842689957127402,ingredient,Brunei
rose_syrup,1,1,4.970970037703824,6.69377697084501,ingredient,Brunei
lemon_gras,5,44,3.336362520323868,6.325342089607802,ingredient,Brunei
pandan_leaf + rice,4,12,4.296761983019193,7.754447801107501,pair,Brunei
coconut_milk + pandan_leaf,4,12,4.296761983019193,7.754447801107501,pair,Brunei
milk + pandan_leaf,4,12,4.296761983019193,7.754447801107501,pair,Brunei
coconut + pandan_leaf,4,15,4.087375892906008,7.376564755112064,pair,Brunei
coconut_milk + milk,8,103,3.338503312323232,7.006224077000724,pair,Brunei
